,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-01-13 06:00:00,,14148.81,14320.0,13948.41,14255.09,974.030693,1515830399999.0,13776016.75168865,9572.0,422.538404,5974018.12897527,0.0
2018-01-13 08:00:00,,14250.0,14254.0,13974.94,14171.05,848.096416,1515837599999.0,11968409.06699994,9629.0,422.522379,5964467.09290819,0.0
2018-01-13 10:00:00,,14150.0,14249.5,13981.07,14178.0,832.583116,1515844799999.0,11777603.60569294,9026.0,383.817983,5432109.78912113,0.0
2018-01-13 12:00:00,,14166.0,14560.0,14143.22,14527.86,1125.995654,1515851999999.0,16176428.67152362,11447.0,528.697718,7598921.17389587,0.0
2018-01-13 14:00:00,,14520.0,14580.0,14083.55,14241.26,1441.927958,1515859199999.0,20629153.39055303,14800.0,678.671046,9715567.56032319,0.0
2018-01-13 16:00:00,,14257.84,14357.0,14141.01,14318.0,1014.729638,1515866399999.0,14452564.8128637,10297.0,538.519315,7670601.24260128,0.0
2018-01-13 18:00:00,,14318.0,14350.0,13923.18,14089.34,933.726896,1515873599999.0,13243209.85148415,11458.0,389.739098,5528276.35485156,0.0
2018-01-13 20:00:00,,14086.64,14255.0,14022.0,14170.2,564.834906,1515880799999.0,7989455.91313929,6957.0,225.101455,3185384.65811373,0.0
2018-01-13 22:00:00,,14162.0,14348.19,14142.01,14210.0,505.393222,1515887999999.0,7191908.28776926,6883.0,209.045732,2977286.64338636,0.0
2018-01-14 00:00:00,,14210.0,14339.5,14109.77,14300.2,544.212087,1515895199999.0,7749744.63157776,6610.0,262.680468,3744261.26272767,0.0
2018-01-14 02:00:00,,14300.2,14330.0,14088.55,14162.0,539.411089,1515902399999.0,7652358.6645266,6113.0,251.166781,3562252.05155775,0.0
2018-01-14 04:00:00,,14165.0,14200.0,13359.07,13763.89,1967.696048,1515909599999.0,26994275.67390097,18202.0,937.004181,12865701.52280764,0.0
2018-01-14 06:00:00,,13762.88,13887.49,13515.71,13590.0,715.0219,1515916799999.0,9821231.8104928,8375.0,378.042513,5193258.19034135,0.0
2018-01-14 08:00:00,,13590.0,13720.0,13250.0,13411.06,1448.487065,1515923999999.0,19494942.0263988,12194.0,696.735786,9380087.5251421,0.0
2018-01-14 10:00:00,,13411.36,13588.0,13120.0,13280.15,1515.596084,1515931199999.0,20229898.95753958,12879.0,761.567373,10164933.66248624,0.0
2018-01-14 12:00:00,,13280.16,13426.45,12580.0,13398.01,3677.078127,1515938399999.0,47758020.30398362,25350.0,1834.693438,23858024.35549211,0.0
2018-01-14 14:00:00,,13399.08,13410.0,12569.2,12869.89,2576.487037,1515945599999.0,33499729.63976079,20752.0,1152.823551,14984072.43077884,0.0
2018-01-14 16:00:00,,12869.82,13300.0,12690.01,13270.75,1422.120507,1515952799999.0,18498831.83379131,13840.0,712.759705,9278091.6312401,0.0
2018-01-14 18:00:00,,13280.22,13450.0,13081.0,13109.0,899.299709,1515959999999.0,11949433.92357795,8982.0,487.382567,6478777.38320565,0.0
2018-01-14 20:00:00,,13130.52,13395.0,13100.0,13265.0,836.855702,1515967199999.0,11090704.76767385,9672.0,391.220831,5186932.97588926,0.0
2018-01-14 22:00:00,,13250.24,13600.8,13240.81,13474.99,875.628974,1515974399999.0,11786132.89615707,9395.0,422.305717,5685163.68092991,0.0
2018-01-15 00:00:00,,13477.98,13733.52,13423.85,13460.94,1089.784368,1515981599999.0,14796894.70800628,10732.0,488.404628,6631818.97144615,0.0
2018-01-15 02:00:00,,13460.81,13519.89,13215.56,13368.43,1035.377764,1515988799999.0,13818144.27936785,11365.0,500.152888,6674432.75116607,0.0
2018-01-15 04:00:00,,13367.0,13580.0,13338.21,13520.01,724.819499,1515995999999.0,9776089.55114991,7499.0,315.684824,4257917.67380728,0.0
2018-01-15 06:00:00,,13520.03,13736.4,13251.0,13355.0,1227.580733,1516003199999.0,16660289.61865076,11950.0,652.848973,8863619.84698671,0.0
2018-01-15 08:00:00,,13346.34,13619.0,13290.33,13532.01,1320.691299,1516010399999.0,17744698.8762921,11255.0,761.987195,10239634.72261038,0.0
2018-01-15 10:00:00,,13532.0,13740.27,13147.79,13644.9,1766.667268,1516017599999.0,23900544.64336462,16623.0,981.671817,13293999.97735795,0.0
2018-01-15 12:00:00,,13645.0,14200.27,13520.17,14085.48,2164.007356,1516024799999.0,30164807.92363234,19574.0,1139.855056,15871389.02777567,0.0
